进程：249	应用层不可访问进程：13

进程名称		进程ID		父进程ID		进程路径		应用层访问		文件厂商		文件描述		启动时间		
MSBuild.exe		10608		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\MSBuild\Current\Bin\MSBuild.exe		??		Microsoft Corporation		MSBuild.exe		2021/04/15  23:29:09		
RuntimeBroker.exe		10768		1032		C:\Windows\System32\RuntimeBroker.exe		??		Microsoft Corporation		Runtime Broker		2021/04/15  21:46:26		
vcpkgsrv.exe		10844		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:27:47		
svchost.exe		10860		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:22		
360tray.exe		10960		3464		D:\ownApp1\360\360Safe\safemon\360tray.exe		??		360.cn		360安全卫士 安全防护中心模块		2021/04/15  21:46:23		
SearchIndexer.exe		11092		952		C:\Windows\System32\SearchIndexer.exe		??		Microsoft Corporation		Microsoft Windows Search 索引器		2021/04/15  21:46:23		
svchost.exe		11292		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:37:23		
RemindersServer.exe		11568		1032		C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\RemindersServer.exe		??		Microsoft Corporation		Reminders WinRT OOP Server		2021/04/15  21:46:26		
svchost.exe		11688		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:27		
svchost.exe		11740		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:47:04		
SettingSyncHost.exe		11860		1032		C:\Windows\System32\SettingSyncHost.exe		??		Microsoft Corporation		Host Process for Setting Synchronization		2021/04/15  21:46:27		
WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe		11896		1032		C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe		??		Microsoft Corporation		WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe		2021/04/15  21:46:27		
BhcMgr.exe		12484		6180		C:\Program Files\WindowsApps\B9ECED6F.ASUSBatteryHealthCharging_1.0.7.0_x86__qmba6cd70vzyy\ASUS Battery Health Charging\BhcMgr.exe		??		ASUSTek Computer Inc.		0004b0		2021/04/15  21:46:41		
conhost.exe		12592		9940		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:02:01		
svchost.exe		12596		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:17:08		
SearchUI.exe		12656		1032		C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe		??		Microsoft Corporation		Search and Cortana application		2021/04/15  21:46:45		
LogiOverlay.exe		12724		13148		C:\ProgramData\Logishrd\LogiOptions\Software\Current\LogiOverlay.exe		??		Logitech		Logi Overlay		2021/04/15  21:47:28		
conhost.exe		12728		19824		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:03:32		
SecurityHealthSystray.exe		12880		6180		C:\Windows\System32\SecurityHealthSystray.exe		??		Microsoft Corporation		Windows Security notification icon		2021/04/15  21:46:37		
SecurityHealthService.exe		12920		952		C:\Windows\System32\SecurityHealthService.exe		拒绝		Microsoft Corporation		Windows Security Health Service		信息缺失		
HControl.exe		13092		6180		C:\Program Files\WindowsApps\B9ECED6F.ASUSKeyboardHotkeys_1.0.12.0_x86__qmba6cd70vzyy\ATK Package\HControl.exe		??		ASUSTek Computer Inc.		HControl		2021/04/15  21:46:42		
vcpkgsrv.exe		13108		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:27:51		
LogiOptions.exe		13148		6180		C:\Program Files\Logitech\LogiOptions\LogiOptions.exe		??		Logitech, Inc.		LogiOptions.exe (UNICODE)		2021/04/15  21:47:28		
svchost.exe		13216		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:41		
yundetectservice.exe		13240		6180		D:\BaiduNetdisk\yundetectservice.exe		??		信息缺失		信息缺失		2021/04/15  21:46:38		
svchost.exe		13248		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:38		
Snipaste.exe		13260		6180		D:\WindowsApps\45479liulios.17062D84F7C46_2.5.60.0_x64__p7pnf6hceqser\Snipaste.exe		??		Le Liu		Snipaste		2021/04/15  21:46:44		
LMS.exe		13528		952		C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\LMS.exe		??		Intel Corporation		Intel(R) Local Management Service		2021/04/15  21:47:03		
svchost.exe		13908		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:47:04		
TGitCache.exe		14024		7924		C:\Program Files\TortoiseGit\bin\TGitCache.exe		??		https://tortoisegit.org/		TortoiseGit status cache		2021/04/15  22:37:32		
conhost.exe		14144		19932		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:01:56		
conhost.exe		14448		10608		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:29:09		
dllhost.exe		14956		1032		C:\Windows\System32\dllhost.exe		??		Microsoft Corporation		COM Surrogate		2021/04/15  21:52:59		
svchost.exe		15036		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:53:16		
explorer.exe		15660		1032		C:\Windows\explorer.exe		??		Microsoft Corporation		Windows 资源管理器		2021/04/15  23:22:01		
Microsoft.Alm.Shared.Remoting.RemoteContainer.dll		16496		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\PrivateAssemblies\Microsoft.Alm.Shared.Remoting.RemoteContainer.dll		??		Microsoft Corporation		Microsoft.Alm.Shared.Remoting.RemoteContainer.dll		2021/04/15  23:02:20		
Microsoft.Photos.exe		16560		1032		C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2020.20120.4004.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe		??		信息缺失		0004b0		2021/04/15  22:17:07		
vcpkgsrv.exe		16616		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:27:23		
Taskmgr.exe		16892		6180		C:\Windows\System32\Taskmgr.exe		??		Microsoft Corporation		任务管理器		2021/04/15  23:31:20		
vcpkgsrv.exe		17092		19508		C:\vs2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:21:14		
svchost.exe		17108		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:02:03		
ShellExperienceHost.exe		17172		1032		C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe		??		Microsoft Corporation		Windows Shell Experience Host		2021/04/15  21:48:53		
SystemSettings.exe		17176		1032		C:\Windows\ImmersiveControlPanel\SystemSettings.exe		??		Microsoft Corporation		设置		2021/04/15  21:53:10		
ATKOSD2.exe		17284		17296		C:\Windows\System32\DriverStore\FileRepository\atkwmiacpiio.inf_amd64_30ffacb41f78f352\ATKOSD2.exe		??		ASUSTek Computer Inc.		0004b0		2021/04/15  21:47:43		
ServiceHub.Host.CLR.x86.exe		17312		20460		C:\vs2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  22:49:28		
svchost.exe		17640		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:12:26		
cl.exe		17856		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\VC\Tools\MSVC\14.28.29333\bin\Hostx86\x86\cl.exe		??		Microsoft Corporation		Microsoft? C-C++ Compiler Driver		2021/04/15  23:31:01		
svchost.exe		18084		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:48:53		
ApplicationFrameHost.exe		18804		1032		C:\Windows\System32\ApplicationFrameHost.exe		??		Microsoft Corporation		Application Frame Host		2021/04/15  21:53:10		
Everything.exe		18896		6180		C:\Program Files\Everything\Everything.exe		??		voidtools		Everything		2021/04/15  22:36:40		
devenv.exe		19260		23652		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\devenv.exe		??		Microsoft Corporation		Microsoft Visual Studio 2019		2021/04/15  23:01:28		
WINWORD.EXE		19396		14652		C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE		??		Microsoft Corporation		Microsoft Word		2021/04/15  21:54:08		
devenv.exe		19508		6180		C:\vs2017\Common7\IDE\devenv.exe		??		Microsoft Corporation		Microsoft Visual Studio 2017		2021/04/15  22:48:46		
conhost.exe		19540		17856		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:31:01		
ServiceHub.Host.CLR.x86.exe		19824		23044		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  23:03:32		
RuntimeBroker.exe		19904		1032		C:\Windows\System32\RuntimeBroker.exe		??		Microsoft Corporation		Runtime Broker		2021/04/15  22:31:29		
ServiceHub.IdentityHost.exe		19932		23044		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  23:01:56		
ServiceHub.Host.Node.x86.exe		20460		19508		C:\vs2017\Common7\ServiceHub\Hosts\ServiceHub.Host.Node.x86\ServiceHub.Host.Node.x86.exe		??		Node.js		Node.js: Server-side JavaScript		2021/04/15  22:49:16		
ServiceHub.ThreadedWaitDialog.exe		20548		23044		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.ThreadedWaitDialog.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  23:01:37		
mspdbsrv.exe		20804		1692		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\VC\Tools\MSVC\14.28.29333\bin\Hostx86\x86\mspdbsrv.exe		??		Microsoft Corporation		Microsoft? Program Database		2021/04/15  23:30:52		
TXPlatform.exe		21036		1032		C:\Program Files (x86)\Tencent\QQ\Bin\TXPlatform.exe		??		Tencent		腾讯QQ辅助进程		2021/04/15  22:12:36		
PerfWatson2.exe		21224		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\PerfWatson2.exe		??		Microsoft Corporation		PerfWatson2.exe		2021/04/15  23:01:33		
RuntimeBroker.exe		21456		1032		C:\Windows\System32\RuntimeBroker.exe		??		Microsoft Corporation		Runtime Broker		2021/04/15  22:16:17		
explorer.exe		21652		1032		C:\Windows\explorer.exe		??		Microsoft Corporation		Windows 资源管理器		2021/04/15  23:05:09		
PCManage.exe		21704		19260		D:\DeskTop\PCManage\PCManage\Debug\PCManage.exe		??		TODO: <公司名>		PCManage		2021/04/15  23:30:59		
ServiceHub.IdentityHost.exe		22144		20460		C:\vs2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  22:49:21		
conhost.exe		22416		22860		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  21:58:11		
Video.UI.exe		22724		1032		C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21021.10311.0_x64__8wekyb3d8bbwe\Video.UI.exe		??		信息缺失		0004b0		2021/04/15  22:16:15		
updater.exe		22860		2196		C:\ProgramData\Logishrd\LogiOptions\Software\Current\updater.exe		??		Logitech, Inc.		Updater.exe (UNICODE)		2021/04/15  21:58:11		
Microsoft.ServiceHub.Controller.exe		23044		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\ServiceHub\controller\Microsoft.ServiceHub.Controller.exe		??		Microsoft		Microsoft.ServiceHub.Controller		2021/04/15  23:01:36		
conhost.exe		23064		23888		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:02:05		
SearchFilterHost.exe		23288		11092		C:\Windows\System32\SearchFilterHost.exe		??		Microsoft Corporation		Microsoft Windows Search Filter Host		2021/04/15  23:30:07		
svchost.exe		23480		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:17:08		
QQ.exe		23504		4960		C:\Program Files (x86)\Tencent\QQ\Bin\QQ.exe		??		Tencent		腾讯QQ		2021/04/15  22:12:33		
SearchProtocolHost.exe		23716		11092		C:\Windows\System32\SearchProtocolHost.exe		??		Microsoft Corporation		Microsoft Windows Search Protocol Host		2021/04/15  23:22:52		
taskhostw.exe		23764		2508		C:\Windows\System32\taskhostw.exe		??		Microsoft Corporation		Windows 任务的主机进程		2021/04/15  22:37:30		
ServiceHub.VSDetouredHost.exe		23856		23044		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.VSDetouredHost.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  23:01:37		
ServiceHub.Host.CLR.x86.exe		23888		23044		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  23:02:05		
VaCodeInspectionsServer.exe		23896		19508		C:\Users\ASUS\AppData\Local\Microsoft\VisualStudio\15.0_027fac4d\Extensions\aodkltys.pri\VaCodeInspectionsServer.exe		??		Whole Tomato Software, Inc.		VaCodeInspectionsServer		2021/04/15  22:49:41		
conhost.exe		24048		23044		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:01:36		
