进程：249	应用层不可访问进程：13

进程名称		进程ID		父进程ID		进程路径		应用层访问		文件厂商		文件描述		启动时间		
svchost.exe		2212		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
SangforUDProtectEx.exe		2228		5284		C:\Program Files (x86)\Sangfor\SSL\SangforPWEx\SangforUDProtectEx.exe		??		Sangfor Technologies Inc.		SangforUD Protect Components		2021/04/15  21:46:15		
svchost.exe		2248		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2272		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2300		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:15		
svchost.exe		2372		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2380		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2480		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
PresentationFontCache.exe		2492		952		C:\Windows\Microsoft.NET\Framework64\v3.0\WPF\PresentationFontCache.exe		??		Microsoft Corporation		PresentationFontCache.exe		2021/04/15  21:46:15		
svchost.exe		2508		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2556		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2564		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
WUDFHost.exe		2620		952		C:\Windows\System32\WUDFHost.exe		??		Microsoft Corporation		Windows 驱动程序基础 - 用户模式驱动程序框架主机进程		2021/04/15  21:44:51		
Memory Compression		2656		4		获取进程完整路径失败		拒绝		信息缺失		信息缺失		信息缺失		
svchost.exe		2700		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2712		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:15		
svchost.exe		2800		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2808		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		2816		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
sihost.exe		2860		2248		C:\Windows\System32\sihost.exe		??		Microsoft Corporation		Shell Infrastructure Host		2021/04/15  21:46:15		
svchost.exe		2924		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:15		
svchost.exe		3044		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
clover.exe		3060		6180		D:\ownApp1\clover\clover.exe		??		EJIE Technology		Clover		2021/04/15  23:21:58		
svchost.exe		3088		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		3112		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		3136		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
QQExternal.exe		3272		23504		C:\Program Files (x86)\Tencent\QQ\Bin\QQExternal.exe		??		Tencent		腾讯QQ辅助进程		2021/04/15  22:38:37		
svchost.exe		3332		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		3356		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		3364		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
taskhostw.exe		3384		2508		C:\Windows\System32\taskhostw.exe		??		Microsoft Corporation		Windows 任务的主机进程		2021/04/15  21:46:15		
ZhuDongFangYu.exe		3464		952		D:\ownApp1\360\360Safe\deepscan\ZhuDongFangYu.exe		??		360.cn		360主动防御服务模块		2021/04/15  21:44:51		
svchost.exe		3516		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		3684		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:51		
svchost.exe		3808		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:52		
svchost.exe		3844		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:52		
svchost.exe		3856		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:46:15		
AsLdrSrv64.exe		3864		952		C:\Windows\System32\DriverStore\FileRepository\atkwmiacpiio.inf_amd64_30ffacb41f78f352\AsLdrSrv64.exe		??		ASUSTek Computer Inc.		0004b0		2021/04/15  21:44:52		
spoolsv.exe		3992		952		C:\Windows\System32\spoolsv.exe		??		Microsoft Corporation		后台处理程序子系统应用		2021/04/15  21:44:52		
dasHost.exe		4056		2816		C:\Windows\System32\dasHost.exe		??		Microsoft Corporation		Device Association Framework Provider Host		2021/04/15  21:44:52		
RuntimeBroker.exe		4068		1032		C:\Windows\System32\RuntimeBroker.exe		??		Microsoft Corporation		Runtime Broker		2021/04/15  21:47:00		
svchost.exe		4168		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:52		
mDNSResponder.exe		4220		952		C:\Program Files\Bonjour\mDNSResponder.exe		??		Apple Inc.		Bonjour Service		2021/04/15  21:44:53		
CAJSHost.exe		4248		952		C:\Program Files (x86)\TTKN\CAJVD\CAJSHost.exe		??		Tongfang Knowledge Network Technology(Beijing) Co., Ltd.		TTKN?CAJHost		2021/04/15  21:44:53		
svchost.exe		4260		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
svchost.exe		4292		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:52		
vcpkgsrv.exe		4412		19260		C:\Program Files (x86)\Microsoft Visual Studio\2019\2017\Common7\IDE\VC\vcpackages\vcpkgsrv.exe		??		Microsoft Corporation		Microsoft (R) Visual C++ Package Server		2021/04/15  23:28:28		
ctfmon.exe		4720		3856		C:\Windows\System32\ctfmon.exe		??		Microsoft Corporation		CTF 加载程序		2021/04/15  21:46:15		
ChsIME.exe		4856		1032		C:\Windows\System32\InputMethod\CHS\ChsIME.exe		??		Microsoft Corporation		Microsoft IME		2021/04/15  21:46:16		
conhost.exe		5020		23856		C:\Windows\System32\conhost.exe		??		Microsoft Corporation		控制台窗口主进程		2021/04/15  23:01:38		
svchost.exe		5096		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:45:03		
AsHidSrv64.exe		5112		952		C:\Windows\System32\DriverStore\FileRepository\atkwmiacpiio.inf_amd64_30ffacb41f78f352\AsHidSrv64.exe		??		ASUSTek Computer Inc.		ASUS HID Access Service		2021/04/15  21:44:53		
IntelCpHDCPSvc.exe		5124		952		C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_842ac78a64ae7644\IntelCpHDCPSvc.exe		??		Intel Corporation		Intel HD Graphics Drivers for Windows(R)		2021/04/15  21:44:53		
svchost.exe		5136		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
AppleMobileDeviceService.exe		5156		952		C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe		??		Apple Inc.		MobileDeviceService		2021/04/15  21:44:53		
RtkBtManServ.exe		5172		952		C:\Windows\RtkBtManServ.exe		??		Realtek Semiconductor Corp.		Realtek Bluetooth BTDevManager Service Application		2021/04/15  21:44:53		
svchost.exe		5184		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
svchost.exe		5192		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
svchost.exe		5208		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
ICEsoundService64.exe		5224		952		C:\Windows\System32\ICEsoundService64.exe		??		ICEpower		ICEpower ICEsound APO service		2021/04/15  21:44:53		
NvTelemetryContainer.exe		5232		952		C:\Program Files\NVIDIA Corporation\NvTelemetry\NvTelemetryContainer.exe		??		NVIDIA Corporation		NVIDIA Container		2021/04/15  21:44:53		
sqlservr.exe		5244		952		C:\ProgramData\SOLIDWORKS Electrical\MSSQL12.TEW_SQLEXPRESS\MSSQL\Binn\sqlservr.exe		??		Microsoft Corporation		SQL Server Windows NT - 64 Bit		2021/04/15  21:44:53		
svchost.exe		5252		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
svchost.exe		5260		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
SangforPromoteService.exe		5268		952		C:\Program Files (x86)\Sangfor\SSL\Promote\SangforPromoteService.exe		??		Sangfor Technologies Inc.		Promote Service		2021/04/15  21:44:53		
esif_uf.exe		5276		952		C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_82b77f8c4618e2d0\esif_uf.exe		??		Intel Corporation		Intel(R) Dynamic Tuning Service		2021/04/15  21:44:53		
SangforPWEx.exe		5284		952		C:\Program Files (x86)\Sangfor\SSL\SangforPWEx\SangforPWEx.exe		??		Sangfor Technologies Inc.		Sangfor VPN Security Protect Service		2021/04/15  21:44:53		
OfficeClickToRun.exe		5300		952		C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe		??		Microsoft Corporation		Microsoft Office Click-to-Run (SxS)		2021/04/15  21:44:53		
QQProtect.exe		5308		952		C:\Program Files (x86)\Common Files\Tencent\QQProtect\Bin\QQProtect.exe		??		Tencent		QQ安全防护进程（Q盾）		2021/04/15  21:44:53		
FNPLicensingService64.exe		5384		952		C:\Program Files\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService64.exe		??		Flexera Software LLC		Activation Licensing Service		2021/04/15  21:44:53		
svchost.exe		5396		952		C:\Windows\SysWOW64\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:53		
mysqld.exe		5448		952		C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe		??		信息缺失		0004e4		2021/04/15  21:44:53		
FNPLicensingService.exe		5456		952		C:\Program Files (x86)\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService.exe		??		Flexera Software LLC		Activation Licensing Service		2021/04/15  21:44:53		
sqlwriter.exe		5464		952		C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe		??		Microsoft Corporation		SQL Server VSS Writer - 64 Bit		2021/04/15  21:44:53		
sqlbrowser.exe		5480		952		C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe		??		Microsoft Corporation		SQL Browser Service EXE		2021/04/15  21:44:53		
httpd.exe		5488		952		D:\Service\Apache24\bin\httpd.exe		??		Apache Software Foundation		Apache HTTP Server		2021/04/15  21:44:53		
svchost.exe		5504		952		C:\Windows\System32\svchost.exe		拒绝		Microsoft Corporation		Windows 服务主进程		信息缺失		
TeamViewer_Service.exe		5516		952		C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe		??		TeamViewer Germany GmbH		TeamViewer		2021/04/15  21:44:53		
acrotray.exe		5612		14652		C:\Program Files (x86)\Adobe\Acrobat DC\Acrobat\acrotray.exe		??		Adobe Systems Inc.		AcroTray		2021/04/15  21:54:03		
SWVisualize.BoostService.exe		5644		952		D:\ownApp1\solidworks\SOLIDWORKS Visualize Boost\SWVisualize.BoostService.exe		??		Dassault Systèmes		VizBoostService		2021/04/15  21:44:53		
SWVisualize.Queue.Server.exe		5676		952		D:\ownApp1\solidworks\SOLIDWORKS Visualize\SWVisualize.Queue.Server.exe		??		Dassault Systèmes		SOLIDWORKS Visualize Queue Server		2021/04/15  21:44:53		
svchost.exe		5700		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:54		
svchost.exe		5760		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:54		
jhi_service.exe		5804		952		C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL\jhi_service.exe		??		Intel Corporation		Intel(R) Dynamic Application Loader Host Interface		2021/04/15  21:47:03		
